City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,nova sintra,14.8667,-24.7167,23.33,79,67,7.02,CV,1695796934
353,merizo village,13.2658,144.6691,26.31,97,100,7.54,GU,1695796935
354,el calafate,-50.3408,-72.2768,3.34,88,100,0.9,AR,1695796935
355,archidona,37.0965,-4.3887,16.89,79,4,1.97,ES,1695796935
356,rongelap,11.1635,166.8941,28.49,78,100,6.55,MH,1695796935
357,comarnic,45.25,25.6333,22.73,40,7,4.52,RO,1695796936
358,pasuquin,18.3328,120.6177,30.97,79,75,3.09,PH,1695796936
359,timbuktu,16.7735,-3.0074,32.63,34,5,2.88,ML,1695796936
360,hamilton,39.1834,-84.5333,18.0,95,0,2.24,US,1695796936
361,humaita,-7.5061,-63.0208,26.08,59,0,0.97,BR,1695796936
362,paragominas,-2.9667,-47.4833,21.68,96,5,1.31,BR,1695796937
363,alaghsas,17.0187,8.0168,26.94,28,5,1.54,NE,1695796901
